,,clean,smell,noise,town,district,longitude,latitude,transformed_longitude,transformed_latitude
1,万寿社区居委会,3,0.0,0.0,盈浦街道,青浦区,121.104287016932,31.1558823799679,-2822207.586532274,4677635.626522204
2,万泰花园第一居委会,3,1.0,0.0,七宝镇,闵行区,121.351529089795,31.144326843509,-2842710.938446562,4665979.72602233
3,万科阳光苑居委会,2,0.0,0.0,吴泾镇,闵行区,121.468520387505,31.0422853979528,-2855282.4247519798,4665148.863744967
4,万豪居委会,3,0.0,0.0,长征镇,普陀区,121.367237458941,31.2407251034807,-2841108.7489309586,4660473.749148724
5,万里名轩社区居委会,2,,0.0,万里街道,普陀区,121.403601417271,31.269155049366,-2843213.856075277,4657273.732656028
6,万馨居委会,3,0.0,0.0,川沙新镇,浦东新区,121.668505522212,31.1953057158861,-2866944.9660174134,4647691.899672414
7,三乐里居委会,1,,0.0,江宁路街道,静安区,121.446436165896,31.2407917918077,-2847546.1032922533,4656538.823789324
8,三林苑居委会,4,,0.0,东明路街道,浦东新区,121.517370728276,31.1472482776858,-2856117.0315234005,4657589.198483183
9,三泉路一零一五弄居委会,3,0.0,0.0,彭浦新村街道,静安区,121.43631336367,31.3199436665669,-2844346.8193214927,4653153.990616228
10,三泉路七七零弄居委会,3,0.0,0.0,彭浦新村街道,静安区,121.436859112757,31.3170628592636,-2844477.7340611573,4653268.5548128765
11,三湘居委会,3,0.0,0.0,五角场街道,杨浦区,121.485432275279,31.3020103279143,-2848874.5420122347,4651595.042748084
12,三湘盛世花苑居委会,2,0.0,0.0,张庙街道,宝山区,121.447584620833,31.3274228855577,-2845037.2180169113,4652226.572686898
13,上南五村居委会,3,0.0,0.0,周家渡街道,浦东新区,121.495845054905,31.1819830763579,-2853325.8104142975,4656962.548141955
14,上南四村居委会,2,,0.0,周家渡街道,浦东新区,121.493729505012,31.1742910606839,-2853384.5063177557,4657444.375540823
15,上炼新村二居委会,3,0.0,0.0,高桥镇,浦东新区,121.566878362846,31.3390515476908,-2854366.312105923,4645721.669688754
16,世强居委会,3,0.0,1.0,叶榭镇,松江区,121.313354508403,30.9468041892619,-2845471.1605554316,4677521.545491163
17,世纪名门居委会,3,,0.0,莘庄镇,闵行区,121.37233702953,31.1099139634587,-2845432.0731986826,4666631.022626238
18,东南居委会,2,0.0,0.0,潍坊新村街道,浦东新区,121.511941125382,31.2272922646263,-2853273.6112908674,4653941.906525315
19,东南居委会,2,0.0,0.0,周浦镇,浦东新区,121.577741975311,31.1137186964607,-2862029.450659754,4656214.510803116
20,东场居委会,2,0.0,0.0,书院镇,浦东新区,121.892088710925,30.9212634413547,-2893341.0256510866,4649777.720302574
21,东城新村第六居委会,2,0.0,0.0,花木街道,浦东新区,121.528614912248,31.2012361296437,-2855410.745322891,4654387.516391304
22,东城新村第四居委会,3,0.0,0.0,花木街道,浦东新区,121.532967564401,31.2062656736219,-2855613.2284417977,4653924.338490088
23,东大名居委会,2,0.0,0.0,提篮桥街道,虹口区,121.506737160591,31.2517421240997,-2852116.1830873494,4653002.408482506
24,东安一村北居委会,3,,0.0,枫林路街道,徐汇区,121.452791787211,31.1920534993695,-2849523.9731615726,4658612.055713446
25,东安一村南居委会,3,,0.0,枫林路街道,徐汇区,121.454575446799,31.1910219230233,-2849699.907533764,4658573.875688704
26,东安四村居委会,2,,0.0,枫林路街道,徐汇区,121.447128413645,31.1894800021004,-2849140.5741405003,4659019.758334086
27,东方居委会,2,0.0,0.0,塘桥街道,浦东新区,121.517032051687,31.2068942062027,-2854299.860352217,4654687.601631865
28,东林居委会,2,0.0,0.0,朱泾镇,金山区,121.160669007168,30.8965166419295,-2834478.5472498755,4687539.315406483
30,东波苑第四居委会,3,0.0,0.0,沪东新村街道,浦东新区,121.57776434235,31.2876519598701,-2856799.9099434875,4647702.542746324
31,东白林寺居委会,2,0.0,1.0,定海路街道,杨浦区,121.543402583362,31.2765613810029,-2854346.078788649,4649959.1647529695
33,东陆路一居委会,3,0.0,0.0,浦兴路街道,浦东新区,121.592416481135,31.2730692730285,-2858428.1603893563,4647686.916956239
34,东陆路二居委会,4,,0.0,浦兴路街道,浦东新区,121.591435765048,31.2702723490896,-2858432.9350590417,4647872.962763961
35,东风居委会,3,,1.0,外滩街道,黄浦区,121.476771261684,31.2384342928083,-2850081.87835106,4655146.157125663
36,东风居委会,3,,1.0,张堰镇,金山区,121.283914860382,30.8060810454039,-2847225.026211246,4685825.426988642
37,中凯居委会,3,0.0,0.0,南京西路街道,静安区,121.46132993273,31.2272511656088,-2849162.7560634725,4656462.49336733
38,中凯居委会,3,0.0,0.0,南京西路街道,静安区,121.46132993273,31.2272511656088,-2849162.7560634725,4656462.49336733
39,中原路九十九弄居委会,2,0.0,1.0,五角场镇,杨浦区,121.52689846799,31.3157262229868,-2851827.030330882,4648858.420742253
40,中山东一路居委会,4,0.0,0.0,外滩街道,黄浦区,121.485321703633,31.2356838584233,-2850859.1437572073,4654855.636714697
41,中海馨园居委会,3,,0.0,漕河泾街道,徐汇区,121.424472100906,31.162338901619,-2848110.2265792494,4661475.306871681
42,中港居委会,2,0.0,0.0,海湾镇,奉贤区,121.70041899564,30.8604809217571,-2879588.129338737,4662374.253676174
43,中环家园社区居委会,3,0.0,1.0,万里街道,普陀区,121.408071457032,31.2680848750169,-2843609.2887775367,4657104.463514628
44,中联村居委会,1,,0.0,定海路街道,杨浦区,121.548012832826,31.2726669298349,-2854837.5083633168,4649920.5086588
45,中远两湾城第三居委会,3,0.0,1.0,宜川路街道,普陀区,121.432523701507,31.2523889533875,-2846067.498376524,4656661.015640633
46,丰怡苑居委会,2,0.0,0.0,曹路镇,浦东新区,121.671410156153,31.2682205629286,-2864979.724000969,4643979.084235033
47,临汾路一二四四弄居委会,3,0.0,0.0,彭浦新村街道,静安区,121.4383433044,31.3140192557841,-2844689.7540301164,4653344.516936575
48,丽二居委会,3,0.0,0.0,打浦桥街道,黄浦区,121.474220823931,31.2091499172349,-2850753.4364089957,4656708.50428588
49,九城湖滨社区居委会,3,0.0,1.0,九里亭街道,松江区,121.314838209016,31.1507703672587,-2839530.315566902,4667483.483146016
50,九茂居委会,2,0.0,1.0,长寿路街道,普陀区,121.436921996053,31.2423449443637,-2846726.247009908,4656935.401671479
51,云南居委会,3,0.0,0.0,外滩街道,黄浦区,121.477493438871,31.2287098614709,-2850432.4779936923,4655587.031367423
52,云台路二居委会,3,,0.0,周家渡街道,浦东新区,121.504411498491,31.1766573100868,-2854181.8027286367,4656796.530108552
53,交大新村居委会,3,0.0,0.0,徐家汇街道,徐汇区,121.422759228755,31.193064227632,-2847051.4325213237,4660055.515108521
54,交大新村居委会,3,,0.0,徐家汇街道,徐汇区,121.422759228755,31.193064227632,-2847051.4325213237,4660055.515108521
55,交通公园居委会,3,0.0,0.0,芷江西路街道,静安区,121.463362397856,31.2500182289581,-2848644.648373643,4655244.798695989
56,交通社区居委会,3,0.0,,堡镇,崇明区,121.615000395751,31.5434368736129,-2852070.595026937,4633256.1678268835
57,亭中居委会,3,0.0,1.0,九亭镇,松江区,121.326948402346,31.130158222524,-2841131.2367350287,4667892.734804582
59,仓桥社区居委会,4,0.0,0.0,夏阳街道,青浦区,121.123877371743,31.1588531662407,-2823718.694151366,4676524.5090641575
60,众乐里居委会,2,0.0,0.0,江宁路街道,静安区,121.446789616547,31.2347919953543,-2847754.8053570623,4656815.565660156
61,会稽居委会,2,,1.0,豫园街道,黄浦区,121.477871887077,31.2245281155801,-2850588.7397905523,4655773.196569429
62,伟业居委会,3,0.0,0.0,沪东新村街道,浦东新区,121.57911954603,31.2845291378095,-2857004.0006780303,4647788.151009208
63,佳木斯路三一五弄居委会,1,0.0,0.0,五角场镇,杨浦区,121.534568863062,31.297852523775,-2852987.938764227,4649354.278977703
